rank,participant,elo,elo_ci95,glicko2,glicko2_rd,score_pct,wins,draws,losses,games,win_pct
1,run_v2-s512,1585.9,76.9,1605.9,43.5,60.4,76,17,47,140,54.3
2,big_run-best-s512,1626.1,78.3,1642.4,43.5,63.9,84,11,45,140,60.0
3,cpp-alphabeta-d6,1663.7,80.0,1675.3,43.5,67.1,84,20,36,140,60.0
4,cpp-alphabeta-d4,1465.9,75.3,1492.7,43.5,49.3,57,24,59,140,40.7
5,tactical,1274.6,79.5,1317.4,43.5,32.1,33,24,83,140,23.6
6,threat-block,954.8,106.8,1083.7,43.5,9.3,4,18,118,140,2.9
7,openspiel-mcts,1111.0,89.8,1185.9,43.5,19.3,16,22,102,140,11.4
8,utttai-128,2318.2,204.0,1996.6,43.5,98.6,137,2,1,140,97.9
