rank,participant,elo,elo_ci95,glicko2,glicko2_rd,score_pct,wins,draws,losses,games,win_pct
1,ckpt-iter6000-e943b3ba-s512,2341.8,169.4,1920.7,47.0,91.2,103,13,4,120,85.8
2,utttai-128,2325.0,167.9,1912.2,47.0,90.4,102,13,5,120,85.0
3,cpp-alphabeta-d6,1719.4,105.2,1602.0,47.0,60.0,68,8,44,120,56.7
4,cpp-alphabeta-d4,1500.0,97.7,1440.5,47.0,44.2,44,18,58,120,36.7
5,tactical,1310.0,99.4,1274.8,47.0,27.9,27,13,80,120,22.5
6,openspiel-mcts,1207.3,104.1,1185.5,47.0,19.2,18,10,92,120,15.0
7,threat-block,1181.4,105.8,1164.3,47.0,17.1,12,17,91,120,10.0
