participant,elo,elo_ci95,glicko2,glicko2_rd,volatility,games,wins,draws,losses,win_rate,score_rate
cpp-alphabeta-d10,1539.26,94.19,1570.18,110.21,0.06,20,8,7,5,0.4,0.575
ckpt-iter6060,1460.74,94.19,1429.82,110.21,0.06,20,5,7,8,0.25,0.425
