game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
15,7,2,"[64, 13]",alphabeta-d3,openspiel-mcts-50,1,41
16,8,2,"[26, 79]",openspiel-mcts-50,alphabeta-d3,0,59
17,8,2,"[26, 79]",alphabeta-d3,openspiel-mcts-50,1,31
18,9,2,"[29, 19]",openspiel-mcts-50,alphabeta-d3,-1,32
19,9,2,"[29, 19]",alphabeta-d3,openspiel-mcts-50,1,41
0,0,2,"[39, 35]",openspiel-mcts-50,tactical,0,51
1,0,2,"[39, 35]",tactical,openspiel-mcts-50,1,41
2,1,2,"[27, 2]",openspiel-mcts-50,tactical,-1,46
3,1,2,"[27, 2]",tactical,openspiel-mcts-50,1,55
4,2,2,"[18, 8]",openspiel-mcts-50,tactical,-1,48
5,2,2,"[18, 8]",tactical,openspiel-mcts-50,0,59
6,3,2,"[54, 8]",openspiel-mcts-50,tactical,-1,50
7,3,2,"[54, 8]",tactical,openspiel-mcts-50,1,39
8,4,2,"[17, 76]",openspiel-mcts-50,tactical,0,59
9,4,2,"[17, 76]",tactical,openspiel-mcts-50,1,41
10,5,2,"[70, 66]",openspiel-mcts-50,tactical,1,51
11,5,2,"[70, 66]",tactical,openspiel-mcts-50,1,37
12,6,2,"[43, 71]",openspiel-mcts-50,tactical,-1,48
13,6,2,"[43, 71]",tactical,openspiel-mcts-50,0,54
14,7,2,"[66, 27]",openspiel-mcts-50,tactical,1,53
15,7,2,"[66, 27]",tactical,openspiel-mcts-50,1,45
16,8,2,"[29, 25]",openspiel-mcts-50,tactical,-1,46
17,8,2,"[29, 25]",tactical,openspiel-mcts-50,1,41
18,9,2,"[42, 54]",openspiel-mcts-50,tactical,-1,44
19,9,2,"[42, 54]",tactical,openspiel-mcts-50,1,41
0,0,2,"[2, 25]",alphabeta-d3,tactical,1,47
1,0,2,"[2, 25]",tactical,alphabeta-d3,-1,52
2,1,2,"[34, 70]",alphabeta-d3,tactical,-1,50
3,1,2,"[34, 70]",tactical,alphabeta-d3,-1,52
4,2,2,"[17, 76]",alphabeta-d3,tactical,1,47
5,2,2,"[17, 76]",tactical,alphabeta-d3,1,51
6,3,2,"[14, 50]",alphabeta-d3,tactical,1,47
7,3,2,"[14, 50]",tactical,alphabeta-d3,0,56
8,4,2,"[18, 6]",alphabeta-d3,tactical,1,51
9,4,2,"[18, 6]",tactical,alphabeta-d3,-1,46
10,5,2,"[0, 2]",alphabeta-d3,tactical,1,55
11,5,2,"[0, 2]",tactical,alphabeta-d3,-1,46
12,6,2,"[17, 79]",alphabeta-d3,tactical,0,59
13,6,2,"[17, 79]",tactical,alphabeta-d3,-1,48
14,7,2,"[10, 11]",alphabeta-d3,tactical,1,51
15,7,2,"[10, 11]",tactical,alphabeta-d3,-1,50
16,8,2,"[16, 65]",alphabeta-d3,tactical,1,53
17,8,2,"[16, 65]",tactical,alphabeta-d3,0,63
18,9,2,"[39, 33]",alphabeta-d3,tactical,1,47
19,9,2,"[39, 33]",tactical,alphabeta-d3,-1,58
