participant,ckpt-iter6000-e943b3ba-s512,cpp-alphabeta-d10,cpp-alphabeta-d6,cpp-alphabeta-d4,tactical,threat-block,openspiel-mcts-100,utttai-128
ckpt-iter6000-e943b3ba-s512,-,11-5-4,18-2-0,20-0-0,20-0-0,20-0-0,20-0-0,8-7-5
cpp-alphabeta-d10,4-5-11,-,17-2-1,19-1-0,20-0-0,17-2-1,20-0-0,1-4-15
cpp-alphabeta-d6,0-2-18,1-2-17,-,14-4-2,14-4-2,20-0-0,18-1-1,0-0-20
cpp-alphabeta-d4,0-0-20,0-1-19,2-4-14,-,15-3-2,15-4-1,17-1-2,0-0-20
tactical,0-0-20,0-0-20,2-4-14,2-3-15,-,15-4-1,10-3-7,0-0-20
threat-block,0-0-20,1-2-17,0-0-20,1-4-15,1-4-15,-,0-6-14,0-0-20
openspiel-mcts-100,0-0-20,0-0-20,1-1-18,2-1-17,7-3-10,14-6-0,-,0-0-20
utttai-128,5-7-8,15-4-1,20-0-0,20-0-0,20-0-0,20-0-0,20-0-0,-
