rank,participant,elo,elo_ci95,glicko2,glicko2_rd,score_pct,wins,draws,losses,games,win_pct
1,ckpt-iter6000-e943b3ba-s2000,2473.2,153.3,1949.2,43.5,93.9,126,11,3,140,90.0
2,utttai-128,2344.1,139.7,1887.1,43.5,87.9,118,10,12,140,84.3
3,cpp-alphabeta-d10,2018.4,113.6,1719.1,43.5,71.4,93,14,33,140,66.4
4,cpp-alphabeta-d6,1660.6,95.6,1514.6,43.5,51.4,66,12,62,140,47.1
5,cpp-alphabeta-d4,1500.0,93.9,1401.4,43.5,40.4,49,15,76,140,35.0
6,tactical,1283.3,98.4,1233.4,43.5,23.9,26,15,99,140,18.6
7,openspiel-mcts-100,1240.4,100.5,1200.6,43.5,20.7,22,14,104,140,15.7
8,threat-block,1088.5,112.3,1094.7,43.5,10.4,7,15,118,140,5.0
