game_id,pair_id,opening_plies,opening_moves,player_x,player_o,winner,moves
17,8,2,0 4,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,46
18,9,2,15 55,ckpt-iter6000-e943b3ba-s2000,cpp-alphabeta-d4,1,43
19,9,2,15 55,cpp-alphabeta-d4,ckpt-iter6000-e943b3ba-s2000,-1,38
0,0,2,0 4,ckpt-iter6000-e943b3ba-s2000,tactical,1,43
1,0,2,0 4,tactical,ckpt-iter6000-e943b3ba-s2000,-1,44
2,1,2,16 71,ckpt-iter6000-e943b3ba-s2000,tactical,1,47
3,1,2,16 71,tactical,ckpt-iter6000-e943b3ba-s2000,-1,44
4,2,2,37 14,ckpt-iter6000-e943b3ba-s2000,tactical,1,45
5,2,2,37 14,tactical,ckpt-iter6000-e943b3ba-s2000,-1,52
6,3,2,42 59,ckpt-iter6000-e943b3ba-s2000,tactical,1,45
7,3,2,42 59,tactical,ckpt-iter6000-e943b3ba-s2000,-1,52
8,4,2,24 57,ckpt-iter6000-e943b3ba-s2000,tactical,1,39
9,4,2,24 57,tactical,ckpt-iter6000-e943b3ba-s2000,-1,48
10,5,2,67 40,ckpt-iter6000-e943b3ba-s2000,tactical,1,49
11,5,2,67 40,tactical,ckpt-iter6000-e943b3ba-s2000,-1,50
12,6,2,47 24,ckpt-iter6000-e943b3ba-s2000,tactical,1,41
13,6,2,47 24,tactical,ckpt-iter6000-e943b3ba-s2000,-1,54
14,7,2,29 24,ckpt-iter6000-e943b3ba-s2000,tactical,1,43
15,7,2,29 24,tactical,ckpt-iter6000-e943b3ba-s2000,-1,42
16,8,2,43 67,ckpt-iter6000-e943b3ba-s2000,tactical,1,45
17,8,2,43 67,tactical,ckpt-iter6000-e943b3ba-s2000,-1,46
18,9,2,20 22,ckpt-iter6000-e943b3ba-s2000,tactical,1,49
19,9,2,20 22,tactical,ckpt-iter6000-e943b3ba-s2000,-1,46
0,0,2,53 73,ckpt-iter6000-e943b3ba-s2000,threat-block,1,33
1,0,2,53 73,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,30
2,1,2,73 10,ckpt-iter6000-e943b3ba-s2000,threat-block,1,39
3,1,2,73 10,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,34
4,2,2,33 59,ckpt-iter6000-e943b3ba-s2000,threat-block,1,33
5,2,2,33 59,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,40
6,3,2,52 70,ckpt-iter6000-e943b3ba-s2000,threat-block,1,39
7,3,2,52 70,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,36
8,4,2,36 2,ckpt-iter6000-e943b3ba-s2000,threat-block,1,33
9,4,2,36 2,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,42
10,5,2,9 7,ckpt-iter6000-e943b3ba-s2000,threat-block,1,37
11,5,2,9 7,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,34
12,6,2,73 13,ckpt-iter6000-e943b3ba-s2000,threat-block,1,33
13,6,2,73 13,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,36
14,7,2,68 52,ckpt-iter6000-e943b3ba-s2000,threat-block,1,37
15,7,2,68 52,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,36
16,8,2,20 18,ckpt-iter6000-e943b3ba-s2000,threat-block,1,31
17,8,2,20 18,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,44
18,9,2,23 51,ckpt-iter6000-e943b3ba-s2000,threat-block,1,35
19,9,2,23 51,threat-block,ckpt-iter6000-e943b3ba-s2000,-1,32
0,0,2,79 67,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,35
1,0,2,79 67,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,40
2,1,2,34 68,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,43
3,1,2,34 68,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,42
4,2,2,63 7,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,41
5,2,2,63 7,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,36
6,3,2,3 33,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,47
7,3,2,3 33,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,44
8,4,2,9 1,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,45
9,4,2,9 1,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,36
10,5,2,8 77,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,41
11,5,2,8 77,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,40
12,6,2,36 8,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,55
13,6,2,36 8,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,48
14,7,2,49 40,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,39
15,7,2,49 40,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,36
16,8,2,58 43,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,43
17,8,2,58 43,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,44
18,9,2,70 64,ckpt-iter6000-e943b3ba-s2000,openspiel-mcts-100,1,39
19,9,2,70 64,openspiel-mcts-100,ckpt-iter6000-e943b3ba-s2000,-1,32
0,0,2,79 64,ckpt-iter6000-e943b3ba-s2000,utttai-128,1,55
1,0,2,79 64,utttai-128,ckpt-iter6000-e943b3ba-s2000,-1,50
2,1,2,73 13,ckpt-iter6000-e943b3ba-s2000,utttai-128,1,53
3,1,2,73 13,utttai-128,ckpt-iter6000-e943b3ba-s2000,-1,58
4,2,2,66 28,ckpt-iter6000-e943b3ba-s2000,utttai-128,0,54
5,2,2,66 28,utttai-128,ckpt-iter6000-e943b3ba-s2000,-1,50
6,3,2,60 59,ckpt-iter6000-e943b3ba-s2000,utttai-128,1,53
7,3,2,60 59,utttai-128,ckpt-iter6000-e943b3ba-s2000,1,51
8,4,2,24 57,ckpt-iter6000-e943b3ba-s2000,utttai-128,0,58
9,4,2,24 57,utttai-128,ckpt-iter6000-e943b3ba-s2000,0,51
10,5,2,75 27,ckpt-iter6000-e943b3ba-s2000,utttai-128,0,48
11,5,2,75 27,utttai-128,ckpt-iter6000-e943b3ba-s2000,0,57
12,6,2,33 60,ckpt-iter6000-e943b3ba-s2000,utttai-128,-1,52
13,6,2,33 60,utttai-128,ckpt-iter6000-e943b3ba-s2000,-1,50
14,7,2,42 58,ckpt-iter6000-e943b3ba-s2000,utttai-128,1,47
15,7,2,42 58,utttai-128,ckpt-iter6000-e943b3ba-s2000,1,53
16,8,2,30 29,ckpt-iter6000-e943b3ba-s2000,utttai-128,1,51
17,8,2,30 29,utttai-128,ckpt-iter6000-e943b3ba-s2000,0,46
18,9,2,73 15,ckpt-iter6000-e943b3ba-s2000,utttai-128,1,53
19,9,2,73 15,utttai-128,ckpt-iter6000-e943b3ba-s2000,-1,40
0,0,2,43 64,cpp-alphabeta-d10,cpp-alphabeta-d6,0,57
1,0,2,43 64,cpp-alphabeta-d6,cpp-alphabeta-d10,1,51
2,1,2,65 18,cpp-alphabeta-d10,cpp-alphabeta-d6,1,57
3,1,2,65 18,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,56
4,2,2,40 38,cpp-alphabeta-d10,cpp-alphabeta-d6,1,61
5,2,2,40 38,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,58
6,3,2,24 55,cpp-alphabeta-d10,cpp-alphabeta-d6,1,59
7,3,2,24 55,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,50
8,4,2,6 55,cpp-alphabeta-d10,cpp-alphabeta-d6,1,51
9,4,2,6 55,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,52
10,5,2,37 12,cpp-alphabeta-d10,cpp-alphabeta-d6,1,51
11,5,2,37 12,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,52
12,6,2,65 25,cpp-alphabeta-d10,cpp-alphabeta-d6,1,47
13,6,2,65 25,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,50
14,7,2,10 9,cpp-alphabeta-d10,cpp-alphabeta-d6,1,49
15,7,2,10 9,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,64
16,8,2,4 41,cpp-alphabeta-d10,cpp-alphabeta-d6,0,64
17,8,2,4 41,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,52
18,9,2,79 66,cpp-alphabeta-d10,cpp-alphabeta-d6,1,57
19,9,2,79 66,cpp-alphabeta-d6,cpp-alphabeta-d10,-1,58
0,0,2,31 42,cpp-alphabeta-d10,cpp-alphabeta-d4,1,57
1,0,2,31 42,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,46
2,1,2,65 18,cpp-alphabeta-d10,cpp-alphabeta-d4,1,55
3,1,2,65 18,cpp-alphabeta-d4,cpp-alphabeta-d10,0,62
4,2,2,35 73,cpp-alphabeta-d10,cpp-alphabeta-d4,1,47
5,2,2,35 73,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,54
6,3,2,23 47,cpp-alphabeta-d10,cpp-alphabeta-d4,1,55
7,3,2,23 47,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,54
8,4,2,78 55,cpp-alphabeta-d10,cpp-alphabeta-d4,1,53
9,4,2,78 55,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,56
10,5,2,34 71,cpp-alphabeta-d10,cpp-alphabeta-d4,1,49
11,5,2,34 71,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,48
12,6,2,45 1,cpp-alphabeta-d10,cpp-alphabeta-d4,1,57
13,6,2,45 1,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,60
14,7,2,42 54,cpp-alphabeta-d10,cpp-alphabeta-d4,1,61
15,7,2,42 54,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,52
16,8,2,11 22,cpp-alphabeta-d10,cpp-alphabeta-d4,1,55
17,8,2,11 22,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,60
18,9,2,17 72,cpp-alphabeta-d10,cpp-alphabeta-d4,1,61
19,9,2,17 72,cpp-alphabeta-d4,cpp-alphabeta-d10,-1,46
0,0,2,39 28,cpp-alphabeta-d10,tactical,1,51
1,0,2,39 28,tactical,cpp-alphabeta-d10,-1,58
2,1,2,74 18,cpp-alphabeta-d10,tactical,1,51
3,1,2,74 18,tactical,cpp-alphabeta-d10,-1,54
4,2,2,45 1,cpp-alphabeta-d10,tactical,1,57
5,2,2,45 1,tactical,cpp-alphabeta-d10,-1,58
6,3,2,54 1,cpp-alphabeta-d10,tactical,1,55
7,3,2,54 1,tactical,cpp-alphabeta-d10,-1,54
8,4,2,21 27,cpp-alphabeta-d10,tactical,1,47
9,4,2,21 27,tactical,cpp-alphabeta-d10,-1,56
10,5,2,77 46,cpp-alphabeta-d10,tactical,1,59
11,5,2,77 46,tactical,cpp-alphabeta-d10,-1,56
12,6,2,46 9,cpp-alphabeta-d10,tactical,1,51
13,6,2,46 9,tactical,cpp-alphabeta-d10,-1,48
14,7,2,16 64,cpp-alphabeta-d10,tactical,1,57
15,7,2,16 64,tactical,cpp-alphabeta-d10,-1,54
16,8,2,8 72,cpp-alphabeta-d10,tactical,1,49
17,8,2,8 72,tactical,cpp-alphabeta-d10,-1,64
18,9,2,60 57,cpp-alphabeta-d10,tactical,1,57
19,9,2,60 57,tactical,cpp-alphabeta-d10,-1,58
0,0,2,14 53,cpp-alphabeta-d10,threat-block,1,45
1,0,2,14 53,threat-block,cpp-alphabeta-d10,-1,48
2,1,2,44 78,cpp-alphabeta-d10,threat-block,1,53
3,1,2,44 78,threat-block,cpp-alphabeta-d10,-1,42
4,2,2,61 70,cpp-alphabeta-d10,threat-block,1,51
5,2,2,61 70,threat-block,cpp-alphabeta-d10,0,44
6,3,2,52 67,cpp-alphabeta-d10,threat-block,1,45
7,3,2,52 67,threat-block,cpp-alphabeta-d10,-1,42
8,4,2,46 9,cpp-alphabeta-d10,threat-block,1,45
9,4,2,46 9,threat-block,cpp-alphabeta-d10,-1,44
10,5,2,19 15,cpp-alphabeta-d10,threat-block,-1,32
11,5,2,19 15,threat-block,cpp-alphabeta-d10,-1,40
