rank,participant,elo,elo_ci95,glicko2,glicko2_rd,score_pct,wins,draws,losses,games,win_pct
1,utttai-128,2212.3,356.1,1981.5,94.5,100.0,28,0,0,28,100.0
2,cpp-alphabeta-d6,1635.2,161.5,1672.0,94.5,67.9,17,4,7,28,60.7
3,cpp-alphabeta-d4,1597.6,156.8,1637.6,94.5,64.3,17,2,9,28,60.7
4,ckpt-iter5750-72a7934c-s64,1445.6,146.8,1482.8,94.5,48.2,11,5,12,28,39.3
5,ckpt-iter1600-d2ea2405-s64,1397.8,146.6,1431.2,94.5,42.9,11,2,15,28,39.3
6,tactical,1317.6,149.4,1345.2,94.5,33.9,7,5,16,28,25.0
7,openspiel-mcts,1215.5,159.2,1242.1,94.5,23.2,5,3,20,28,17.9
8,threat-block,1178.4,164.8,1207.7,94.5,19.6,2,7,19,28,7.1
