participant,elo,elo_ci95,glicko2,glicko2_rd,volatility,games,wins,draws,losses,win_rate,score_rate
cpp-alphabeta-d10,1580.01,86.5,1687.13,110.21,0.06,20,13,2,5,0.65,0.7
ckpt-iter6019,1419.99,86.5,1312.87,110.21,0.06,20,5,2,13,0.25,0.3
